Straßenname,Hsnr,HsnrZus,Adresse_query,lat,lon,display_name,type,category,distance_m,duration_s,shop_min_distance,shops_500m_count,shops_800m_count
Göttiner Landstraße,112,,"Göttiner Landstraße, 112, brandenburg an der havel",52.3837681,12.5451748,"112, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,3538.1,2547.4,1334.8,0,0
Göttiner Landstraße,111,,"Göttiner Landstraße, 111, brandenburg an der havel",52.3843855,12.544653438501772,"111, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3474.1,2501.3,1270.8,0,0
Göttiner Landstraße,110,,"Göttiner Landstraße, 110, brandenburg an der havel",52.3838547,12.5451773,"110, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,3528.5,2540.5,1325.1,0,0
Göttiner Landstraße,109,,"Göttiner Landstraße, 109, brandenburg an der havel",52.3845516,12.5448132,"109, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,3478.0,2504.1,1274.6,0,0
Göttiner Landstraße,108,,"Göttiner Landstraße, 108, brandenburg an der havel",52.3840239,12.54528005814553,"108, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3525.9,2538.6,1322.5,0,0
Göttiner Landstraße,107,,"Göttiner Landstraße, 107, brandenburg an der havel",52.3846032,12.5447935,"107, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,3492.8,2514.8,1289.4,0,0
Göttiner Landstraße,106,A,"Göttiner Landstraße, 106A, brandenburg an der havel",52.384178950000006,12.545298818545575,"106A, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3492.2,2514.3,1288.8,0,0
Göttiner Landstraße,106,,"Göttiner Landstraße, 106, brandenburg an der havel",52.3843638,12.5452122,"106, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,3471.9,2499.7,1268.5,0,0
Göttiner Landstraße,105,,"Göttiner Landstraße, 105, brandenburg an der havel",52.38475445,12.54473231505102,"105, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3436.1,2474.0,1232.8,0,0
Göttiner Landstraße,104,,"Göttiner Landstraße, 104, brandenburg an der havel",52.3844166,12.5452149,"104, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,3466.1,2495.6,1262.8,0,0
Göttiner Landstraße,103,,"Göttiner Landstraße, 103, brandenburg an der havel",52.384919100000005,12.544439776169057,"103, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3423.8,2465.1,1220.5,0,0
Göttiner Landstraße,102,,"Göttiner Landstraße, 102, brandenburg an der havel",52.38462015,12.54528842439721,"102, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3443.1,2479.0,1239.7,0,0
Göttiner Landstraße,101,,"Göttiner Landstraße, 101, brandenburg an der havel",52.385129,12.5448243,"101, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,3410.4,2455.4,1207.0,0,0
Göttiner Landstraße,100,,"Göttiner Landstraße, 100, brandenburg an der havel",52.3848031,12.545303649803156,"100, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3422.7,2464.3,1219.3,0,0
Göttiner Landstraße,99,,"Göttiner Landstraße, 99, brandenburg an der havel",52.38533155,12.544592426218664,"99, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3372.3,2428.0,1168.9,0,0
Göttiner Landstraße,99,A,"Göttiner Landstraße, 99A, brandenburg an der havel",52.3851945,12.5448278,"99A, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,3396.3,2445.3,1192.9,0,0
Göttiner Landstraße,98,,"Göttiner Landstraße, 98, brandenburg an der havel",52.38498915,12.54576709271632,"98, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3400.5,2448.3,1197.2,0,0
Göttiner Landstraße,97,,"Göttiner Landstraße, 97, brandenburg an der havel",52.3854653,12.5448425,"97, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,3372.3,2428.0,1168.9,0,0
Göttiner Landstraße,95,,"Göttiner Landstraße, 95, brandenburg an der havel",52.3855684,12.5448463,"95, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,3343.8,2407.5,1140.5,0,0
Göttiner Landstraße,94,,"Göttiner Landstraße, 94, brandenburg an der havel",52.38532515,12.545398648649073,"94, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3365.0,2422.8,1161.6,0,0
Göttiner Landstraße,87,,"Göttiner Landstraße, 87, brandenburg an der havel",52.38599175,12.543450573958337,"87, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3301.8,2377.2,1098.4,0,0
Göttiner Landstraße,85,,"Göttiner Landstraße, 85, brandenburg an der havel",52.3861159,12.54481749970238,"85, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3301.8,2377.2,1098.4,0,0
Göttiner Landstraße,84,A,"Göttiner Landstraße, 84A, brandenburg an der havel",52.3855479,12.545857300000002,"84A, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3703.8,2666.7,1500.5,0,0
Göttiner Landstraße,84,,"Göttiner Landstraße, 84, brandenburg an der havel",52.38553505,12.54533183743372,"84, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3341.7,2406.0,1138.3,0,0
Göttiner Landstraße,83,,"Göttiner Landstraße, 83, brandenburg an der havel",52.38632475,12.54480704154762,"83, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3262.2,2348.7,1058.8,0,0
Göttiner Landstraße,82,,"Göttiner Landstraße, 82, brandenburg an der havel",52.3857598,12.5452946,"82, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,3316.5,2387.8,1113.1,0,0
Göttiner Landstraße,81,A,"Göttiner Landstraße, 81A, brandenburg an der havel",52.3865763,12.543453256833535,"81A, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3260.9,2347.8,1057.5,0,0
Göttiner Landstraße,81,,"Göttiner Landstraße, 81, brandenburg an der havel",52.38663905,12.54377131950464,"81, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3238.8,2331.9,1035.4,0,0
Göttiner Landstraße,80,,"Göttiner Landstraße, 80, brandenburg an der havel",52.3858383,12.5452971,"80, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,3307.8,2381.5,1104.4,0,0
Göttiner Landstraße,78,,"Göttiner Landstraße, 78, brandenburg an der havel",52.38605075,12.545400347620973,"78, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3283.8,2364.3,1080.4,0,0
Göttiner Landstraße,77,,"Göttiner Landstraße, 77, brandenburg an der havel",52.38680045,12.54486437550872,"77, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3207.9,2309.6,1004.5,0,0
Göttiner Landstraße,72,,"Göttiner Landstraße, 72, brandenburg an der havel",52.38232980979885,12.544871050523271,"Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",tertiary,highway,3704.3,2667.0,1500.9,0,0
Göttiner Landstraße,71,E,"Göttiner Landstraße, 71E, brandenburg an der havel",52.38708235,12.543253002358965,"71E, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3269.3,2353.8,1065.9,0,0
Göttiner Landstraße,70,,"Göttiner Landstraße, 70, brandenburg an der havel",52.38658225,12.545421825401805,"70, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3224.8,2321.8,1021.4,0,0
Göttiner Landstraße,69,,"Göttiner Landstraße, 69, brandenburg an der havel",52.38725545,12.54493334642656,"69, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3162.1,2276.6,958.7,0,0
Göttiner Landstraße,68,,"Göttiner Landstraße, 68, brandenburg an der havel",52.38671115,12.545824354725204,"68, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3209.3,2310.6,1005.9,0,0
Göttiner Landstraße,66,,"Göttiner Landstraße, 66, brandenburg an der havel",52.386849350000006,12.5454579252193,"66, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3195.0,2300.4,991.7,0,0
Göttiner Landstraße,65,A,"Göttiner Landstraße, 65A, brandenburg an der havel",52.38766605,12.544303453110984,"65A, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3182.2,2291.1,978.8,0,0
Göttiner Landstraße,65,,"Göttiner Landstraße, 65, brandenburg an der havel",52.3875477,12.54493094258207,"65, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3151.6,2269.1,948.2,0,0
Göttiner Landstraße,63,,"Göttiner Landstraße, 63, brandenburg an der havel",52.3877139,12.54491685,"63, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3106.1,2236.4,902.7,0,0
Göttiner Landstraße,60,,"Göttiner Landstraße, 60, brandenburg an der havel",52.38700965,12.54587475,"60, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3179.9,2289.5,976.5,0,0
Göttiner Landstraße,59,,"Göttiner Landstraße, 59, brandenburg an der havel",52.3879118,12.5450562,"59, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,3083.8,2220.3,880.4,0,0
Göttiner Landstraße,58,A,"Göttiner Landstraße, 58A, brandenburg an der havel",52.38715095,12.545535943227176,"58A, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3159.5,2274.8,956.1,0,0
Göttiner Landstraße,58,,"Göttiner Landstraße, 58, brandenburg an der havel",52.387352,12.5458096,"58, Göttiner Landstraße, Siedlung Eigene Scholle, Göttin, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3134.6,2256.9,931.2,0,0
Göttiner Landstraße,57,,"Göttiner Landstraße, 57, brandenburg an der havel",52.3880091,12.5450638,"57, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,3073.0,2212.5,869.6,0,0
Göttiner Landstraße,55,,"Göttiner Landstraße, 55, brandenburg an der havel",52.38812635,12.544997471374916,"55, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3060.1,2203.2,856.7,0,0
Göttiner Landstraße,54,,"Göttiner Landstraße, 54, brandenburg an der havel",52.3875845,12.545887480470416,"54, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3111.9,2240.5,908.5,0,0
Göttiner Landstraße,53,,"Göttiner Landstraße, 53, brandenburg an der havel",52.3882459,12.544918183590736,"53, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3045.4,2192.7,842.0,0,0
Göttiner Landstraße,52,,"Göttiner Landstraße, 52, brandenburg an der havel",52.387740050000005,12.545557625481129,"52, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3095.5,2228.7,892.1,0,0
Göttiner Landstraße,51,,"Göttiner Landstraße, 51, brandenburg an der havel",52.388451700000005,12.54469182093336,"51, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3031.1,2182.3,827.7,0,0
Göttiner Landstraße,50,,"Göttiner Landstraße, 50, brandenburg an der havel",52.38792415,12.54587501834886,"50, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3074.2,2213.4,870.8,0,0
Göttiner Landstraße,49,,"Göttiner Landstraße, 49, brandenburg an der havel",52.38855375,12.54488853037098,"49, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3031.1,2182.3,827.7,0,0
Göttiner Landstraße,48,A,"Göttiner Landstraße, 48A, brandenburg an der havel",52.3880687,12.545875746511628,"48A, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3058.1,2201.8,854.8,0,0
Göttiner Landstraße,48,,"Göttiner Landstraße, 48, brandenburg an der havel",52.3881259,12.5454597,"48, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,3052.9,2198.0,849.5,0,0
Göttiner Landstraße,47,,"Göttiner Landstraße, 47, brandenburg an der havel",52.38873975,12.544075690344686,"47, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,2995.9,2157.0,792.5,0,1
Göttiner Landstraße,46,,"Göttiner Landstraße, 46, brandenburg an der havel",52.3881752,12.5454602,"46, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,3047.4,2194.1,844.0,0,0
Göttiner Landstraße,45,,"Göttiner Landstraße, 45, brandenburg an der havel",52.3888628,12.544976775618812,"45, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,2992.6,2154.6,789.2,0,1
