Straßenname,Hsnr,HsnrZus,lat,lon,geometry
Akazienweg,57,,52.371879,12.534209395856823,POINT (12.534209395856823 52.371879)
Akazienweg,56,,52.37196125,12.534884450000003,POINT (12.534884450000003 52.37196125)
Akazienweg,55,,52.37201005,12.53366877222222,POINT (12.53366877222222 52.37201005)
Akazienweg,55,A,52.371977900000005,12.533933040129265,POINT (12.533933040129265 52.371977900000005)
Akazienweg,54,,52.372205,12.534497667256336,POINT (12.534497667256336 52.372205)
Akazienweg,53,,52.37211435,12.533465494068286,POINT (12.533465494068286 52.37211435)
Akazienweg,52,,52.3722936,12.534268417882696,POINT (12.534268417882696 52.3722936)
Akazienweg,51,,52.3723107,12.533341699321396,POINT (12.533341699321396 52.3723107)
Akazienweg,50,,52.37241435,12.534112176262626,POINT (12.534112176262626 52.37241435)
Akazienweg,49,,52.37224809999999,12.53296377484488,POINT (12.53296377484488 52.37224809999999)
Akazienweg,48,,52.3725136,12.533937927315357,POINT (12.533937927315357 52.3725136)
Akazienweg,47,,52.3723976,12.532836003725,POINT (12.532836003725 52.3723976)
Akazienweg,46,,52.3726121,12.533755488634045,POINT (12.533755488634045 52.3726121)
Akazienweg,45,,52.3724931,12.532627946966528,POINT (12.532627946966528 52.3724931)
Akazienweg,44,,52.3727648,12.53362400469008,POINT (12.53362400469008 52.3727648)
Akazienweg,43,,52.37269495,12.53254639431064,POINT (12.53254639431064 52.37269495)
Akazienweg,42,,52.37280005,12.533338979014154,POINT (12.533338979014154 52.37280005)
Akazienweg,41,,52.372778100000005,12.532293800550065,POINT (12.532293800550065 52.372778100000005)
Akazienweg,41,A,52.3724365,12.53186025,POINT (12.53186025 52.3724365)
Akazienweg,39,,52.37287995,12.532048248135697,POINT (12.532048248135697 52.37287995)
Akazienweg,39,A,52.37253065,12.53165999202744,POINT (12.53165999202744 52.37253065)
Akazienweg,38,,52.3730497,12.533022950000005,POINT (12.533022950000005 52.3730497)
Akazienweg,37,,52.3729671,12.5319247,POINT (12.5319247 52.3729671)
Akazienweg,36,B,52.3731714,12.5326216453252,POINT (12.5326216453252 52.3731714)
Akazienweg,36,A,52.3732364,12.532917024624464,POINT (12.532917024624464 52.3732364)
Akazienweg,36,C,52.37303445,12.532408498703091,POINT (12.532408498703091 52.37303445)
Akazienweg,36,,52.3734274,12.532961499564584,POINT (12.532961499564584 52.3734274)
Akazienweg,35,,52.3729029,12.5314318,POINT (12.5314318 52.3729029)
Akazienweg,34,A,52.37336755,12.532339649999996,POINT (12.532339649999996 52.37336755)
Akazienweg,34,,52.37320035,12.532150252315738,POINT (12.532150252315738 52.37320035)
Akazienweg,33,,52.3732088,12.5314868,POINT (12.5314868 52.3732088)
Akazienweg,32,,52.3732912,12.531940647504706,POINT (12.531940647504706 52.3732912)
Akazienweg,31,,52.3732983,12.5312669,POINT (12.5312669 52.3732983)
Akazienweg,30,A,52.37341315,12.531709987816896,POINT (12.531709987816896 52.37341315)
Akazienweg,30,,52.37351515,12.53151594501984,POINT (12.53151594501984 52.37351515)
Akazienweg,29,,52.37353095,12.530570911276488,POINT (12.530570911276488 52.37353095)
Akazienweg,29,A,52.3734099,12.5309077,POINT (12.5309077 52.3734099)
Akazienweg,28,A,52.37357895,12.531344596625,POINT (12.531344596625 52.37357895)
Akazienweg,28,,52.373879900000006,12.530932580800924,POINT (12.530932580800924 52.373879900000006)
Akazienweg,27,,52.37366205,12.530328258262475,POINT (12.530328258262475 52.37366205)
Akazienweg,26,,52.37397745,12.530664258287208,POINT (12.530664258287208 52.37397745)
Akazienweg,26,A,52.3741266,12.530769249999995,POINT (12.530769249999995 52.3741266)
Akazienweg,25,,52.3736738,12.5300051,POINT (12.5300051 52.3736738)
Akazienweg,24,,52.37409685,12.530390067989837,POINT (12.530390067989837 52.37409685)
Akazienweg,23,,52.37381165,12.529803288872316,POINT (12.529803288872316 52.37381165)
Akazienweg,22,,52.3741901,12.530138810772357,POINT (12.530138810772357 52.3741901)
Akazienweg,21,,52.3739719,12.529657980511814,POINT (12.529657980511814 52.3739719)
Akazienweg,20,A,52.3743089,12.5298808,POINT (12.5298808 52.3743089)
Akazienweg,20,,52.3742391,12.5298604,POINT (12.5298604 52.3742391)
Akazienweg,19,,52.37413735,12.529426456323282,POINT (12.529426456323282 52.37413735)
Akazienweg,18,,52.3743744,12.52971874811653,POINT (12.52971874811653 52.3743744)
Akazienweg,17,,52.37411125,12.529047946985068,POINT (12.529047946985068 52.37411125)
Akazienweg,16,A,52.3747681,12.5297783,POINT (12.5297783 52.3747681)
Akazienweg,16,,52.3745163,12.529444290723792,POINT (12.529444290723792 52.3745163)
Akazienweg,15,,52.37434245,12.528993551800797,POINT (12.528993551800797 52.37434245)
Akazienweg,14,,52.3745971,12.52915724661662,POINT (12.52915724661662 52.3745971)
Akazienweg,14,A,52.37494625,12.529564750576624,POINT (12.529564750576624 52.37494625)
Akazienweg,13,,52.3744466,12.5287539,POINT (12.5287539 52.3744466)
Akazienweg,12,,52.3747084,12.5288518,POINT (12.5288518 52.3747084)
Akazienweg,11,,52.37456105,12.528482303411836,POINT (12.528482303411836 52.37456105)
Akazienweg,10,,52.374815,12.5286183,POINT (12.5286183 52.374815)
Akazienweg,9,,52.3746641,12.528228185202138,POINT (12.528228185202138 52.3746641)
Akazienweg,8,,52.3749193,12.528449753619538,POINT (12.528449753619538 52.3749193)
Akazienweg,8,A,52.37529475,12.528917997370453,POINT (12.528917997370453 52.37529475)
Akazienweg,7,,52.3746809,12.527895384752158,POINT (12.527895384752158 52.3746809)
Akazienweg,6,B,52.375040350000006,12.528213254809357,POINT (12.528213254809357 52.375040350000006)
Akazienweg,6,A,52.37520145,12.528304438965002,POINT (12.528304438965002 52.37520145)
Akazienweg,5,A,52.3749039,12.5277886,POINT (12.5277886 52.3749039)
Akazienweg,5,,52.37467295,12.527517087454548,POINT (12.527517087454548 52.37467295)
Akazienweg,4,,52.3752166,12.52786860436514,POINT (12.52786860436514 52.3752166)
Akazienweg,3,,52.37496305,12.527526531634749,POINT (12.527526531634749 52.37496305)
Akazienweg,2,,52.37540145,12.527703845944432,POINT (12.527703845944432 52.37540145)
