Straßenname,Hsnr,HsnrZus,lat,lon,distance,duration_s
Alfred-Messel-Platz,1,,52.40828945,12.552116387888038,524.4,377.6
Alt Gollwitz,19,,52.4179134,12.644162643701954,7220.0,5198.3
Alt Gollwitz,18,,52.41791895,12.643681577580429,7201.0,5184.6
Alt Gollwitz,17,,52.4179683,12.644206476302251,7226.6,5203.1
Alt Gollwitz,16,,52.4180824,12.6438455,7221.2,5199.2
Alt Gollwitz,15,,52.418086,12.644386399999991,7244.4,5215.9
Alt Gollwitz,14,,52.41822155,12.643995656066176,7292.5,5250.5
Alt Gollwitz,13,,52.4181564,12.644464248716847,7253.9,5222.7
Alt Gollwitz,11,,52.4182793,12.644591555200735,7269.0,5233.6
Alt Gollwitz,9,,52.418352850000005,12.64465013455586,7278.1,5240.1
Alt Gollwitz,7,,52.4184687,12.644774874196884,7292.4,5250.5
Alt Gollwitz,5,,52.418539300000006,12.644825049917252,7301.0,5256.6
Alt Gollwitz,3,,52.41866565,12.644903859742788,7316.0,5267.4
Alt Gollwitz,1,,52.41874865,12.644938934857722,7325.4,5274.2
Altbensdorfer Straße,22,,52.4137176,12.4947571,4721.9,3399.7
Altbensdorfer Straße,21,,52.4137123,12.4948957,4712.5,3392.9
Altbensdorfer Straße,20,,52.413685,12.4951377,4695.9,3381.0
Altbensdorfer Straße,19,,52.4136782,12.4953055,4684.5,3372.8
Altbensdorfer Straße,18,,52.4136842,12.4955744,4666.4,3359.7
Altbensdorfer Straße,17,,52.4136776,12.495742,4655.0,3351.5
Altbensdorfer Straße,16,,52.4136475,12.4959656,4639.6,3340.5
Altbensdorfer Straße,15,,52.4136636,12.4960801,4632.0,3335.0
Altbensdorfer Straße,14,,52.4136642,12.4964146,4608.5,3318.1
Altbensdorfer Straße,13,,52.4136618,12.496613,4595.1,3308.4
Altbensdorfer Straße,12,,52.4136744,12.4968388,4579.8,3297.4
Altbensdorfer Straße,11,,52.4137038,12.4970079,4567.3,3288.4
Altbensdorfer Straße,10,,52.4137145,12.4973029,4547.2,3274.0
Altbensdorfer Straße,9,,52.4137164,12.4974315,4538.5,3267.7
Altbensdorfer Straße,8,,52.4137076,12.4977947,4513.0,3249.3
Altbensdorfer Straße,7,,52.4137181,12.4979146,4504.8,3243.4
Altbensdorfer Straße,6,,52.413744,12.4981998,4485.2,3229.3
Altbensdorfer Straße,5,,52.4137559,12.4983408,4475.6,3222.4
Altbensdorfer Straße,4,,52.4137753,12.4985484,4461.3,3212.1
Altbensdorfer Straße,3,,52.413767,12.4987021,4451.1,3204.8
Altbensdorfer Straße,2,,52.4138105,12.4989572,4433.3,3191.9
Altbensdorfer Straße,1,,52.413824,12.4991062,4423.1,3184.6
Alte Krakauer Straße,37,,52.420686450000005,12.57435316065082,1907.6,1373.5
Alte Krakauer Straße,33,,52.4205579,12.5739715,1879.2,1353.0
Alte Krakauer Straße,31,,52.4204829,12.5737338,1863.7,1341.8
Alte Krakauer Straße,29,,52.4203164,12.573419700000008,1838.3,1323.6
Alte Krakauer Straße,27,,52.420401789083655,12.574111772494629,1879.9,1353.5
Alte Krakauer Straße,25,,52.4200479,12.573121011595749,1809.8,1303.0
Alte Krakauer Straße,23,,52.4202101,12.572548,1851.1,1332.8
Alte Krakauer Straße,21,,52.4202791,12.5724083,1863.3,1341.6
Alte Krakauer Straße,19,,52.4203556,12.5722535,1876.8,1351.3
Alte Krakauer Straße,18,,52.420381,12.57508899251004,1939.1,1396.2
Alte Krakauer Straße,17,,52.4204659,12.57189145178572,1903.5,1370.5
Alte Krakauer Straße,16,,52.42016145,12.574654159359936,1895.0,1364.3
Alte Krakauer Straße,15,,52.4211474,12.571549211990517,1970.3,1418.6
Alte Krakauer Straße,15,C,52.4206201,12.5720806,1904.8,1371.4
Alte Krakauer Straße,15,D,52.4205812,12.5721604,1897.9,1366.4
Alte Krakauer Straße,15,A,52.420979200000005,12.571810450000005,1944.8,1400.2
Alte Krakauer Straße,15,B,52.4207679,12.571903439225098,1924.7,1385.7
Alte Krakauer Straße,14,,52.4203428,12.57448694692208,1899.7,1367.8
Alte Krakauer Straße,13,,52.42125215,12.570949957803322,1979.0,1424.9
Alte Krakauer Straße,12,,52.4202937,12.574259610158908,1883.5,1356.1
Alte Krakauer Straße,11,,52.42080725,12.57124661891832,1962.6,1413.0
Alte Krakauer Straße,10,,52.4201994,12.574000234451798,1860.9,1339.8
Alte Krakauer Straße,9,,52.4206848,12.571477347641505,1935.1,1393.3
Alte Krakauer Straße,8,,52.41989409999999,12.57349159156487,1807.3,1301.2
Alte Krakauer Straße,7,,52.4202837,12.57164449719751,1872.3,1348.0
Alte Krakauer Straße,5,,52.420120350000005,12.571943799999993,1846.7,1329.6
Alte Krakauer Straße,3,,52.4199649,12.572257999999996,1819.2,1309.8
Alte Krakauer Straße,1,,52.4198803,12.572816488559663,1781.9,1283.0
Alte Potsdamer Straße,42,,52.40592885,12.571986900000002,1336.9,962.5
Alte Potsdamer Straße,42,C,52.4063506,12.57213,1391.7,1002.0
