id,Name_Haltestelle,Kategorie,x,y,Adresse_query,Adresse_merge,lat,lon,display_name,type,category,geometry
480,Butzow,bus_stop,"337117,12","5818342,5","['Bus stop Butzow, Brandenburg, 14770']",haltestelle butzow,52.4905330,12.6008350,"Butzow, Butzower Dorfstraße, Butzow, Beetzseeheide, Amt Beetzsee, Potsdam-Mittelmark, Brandenburg, 14778, Deutschland",bus_stop,highway,POINT (12.600835 52.490533)
481,Butzow,bus_stop,"337114,62",5818305,"['Bus stop Butzow, Brandenburg, 14770']",haltestelle butzow,52.4905330,12.6008350,"Butzow, Butzower Dorfstraße, Butzow, Beetzseeheide, Amt Beetzsee, Potsdam-Mittelmark, Brandenburg, 14778, Deutschland",bus_stop,highway,POINT (12.600835 52.490533)
482,"Ketzür, Dorf",bus_stop,"339003,1",5818952,"['Bus stop Ketzür Dorf, Brandenburg, 14770']","haltestelle ketzür, dorf",52.4969069,12.6283117,"Ketzür, Ketzürer Dorfstraße, Ketzür, Beetzseeheide, Amt Beetzsee, Potsdam-Mittelmark, Brandenburg, 14778, Deutschland",bus_stop,highway,POINT (12.6283117 52.4969069)
483,"Gortz, Dorf",bus_stop,"340163,75",5820632,"['Bus stop Gortz Dorf, Brandenburg, 14770']","haltestelle gortz, dorf",52.5125786,12.6442385,"Gortz, Dorf, Gortzer Dorfstraße, Gortz, Beetzseeheide, Amt Beetzsee, Potsdam-Mittelmark, Brandenburg, 14778, Deutschland",bus_stop,highway,POINT (12.6442385 52.5125786)
484,"Gortz, Dorf",bus_stop,"340140,97","5820659,5","['Bus stop Gortz Dorf, Brandenburg, 14770']","haltestelle gortz, dorf",52.5125786,12.6442385,"Gortz, Dorf, Gortzer Dorfstraße, Gortz, Beetzseeheide, Amt Beetzsee, Potsdam-Mittelmark, Brandenburg, 14778, Deutschland",bus_stop,highway,POINT (12.6442385 52.5125786)
485,Rotscherlinde,bus_stop,"336705,56","5800796,5","['Bus stop Rotscherlinde, Brandenburg, 14770']",haltestelle rotscherlinde,52.3331446,12.6033603,"Rotscherlinde, B 102, Rotscherlinde, Krahne, Kloster Lehnin, Potsdam-Mittelmark, Brandenburg, 14797, Deutschland",bus_stop,highway,POINT (12.6033603 52.3331446)
486,Rotscherlinde,bus_stop,"336696,8",5800782,"['Bus stop Rotscherlinde, Brandenburg, 14770']",haltestelle rotscherlinde,52.3331446,12.6033603,"Rotscherlinde, B 102, Rotscherlinde, Krahne, Kloster Lehnin, Potsdam-Mittelmark, Brandenburg, 14797, Deutschland",bus_stop,highway,POINT (12.6033603 52.3331446)
487,Roberdamm,bus_stop,"322616,97","5809582,5","['Bus stop Roberdamm, Brandenburg, 14770']",haltestelle roberdamm,52.4075278,12.3926511,"Roberdamm, Chausseestraße, Roberdam, Plaue, Brandenburg an der Havel, Brandenburg, 14774, Deutschland",bus_stop,highway,POINT (12.3926511 52.4075278)
488,Roberdamm,bus_stop,"322613,44",5809565,"['Bus stop Roberdamm, Brandenburg, 14770']",haltestelle roberdamm,52.4075278,12.3926511,"Roberdamm, Chausseestraße, Roberdam, Plaue, Brandenburg an der Havel, Brandenburg, 14774, Deutschland",bus_stop,highway,POINT (12.3926511 52.4075278)
489,Emstal,bus_stop,"348288,7","5796902,5","['Bus stop Emstal, Brandenburg, 14770']",haltestelle emstal,52.3014468,12.7749642,"Emstal, Emstaler Hauptstraße, Emstal, Kloster Lehnin, Potsdam-Mittelmark, Brandenburg, 14797, Deutschland",bus_stop,highway,POINT (12.7749642 52.3014468)
490,Jacobstraße,tram_stop,333874,"5808938,5","['Tram stop Jacobstraße, Brandenburg, 14770']",haltestelle jacobstraße,52.4052940,12.5576310,"Jacobstraße, Bahnhofsvorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",tram_stop,railway,POINT (12.557631 52.405294)
491,Steinstraße/Kino,tram_stop,"334004,8",5809077,"['Tram stop Steinstraße/Kino, Brandenburg, 14770']",haltestelle steinstraße/kino,52.4067080,12.5596629,"Steinstraße/Kino, Steinstraße, Neustadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",tram_stop,railway,POINT (12.5596629 52.406708)
492,Luckenberger Straße,tram_stop,"333247,03","5809394,5","['Tram stop Luckenberger Straße, Brandenburg, 14770']",haltestelle luckenberger straße,52.4088509,12.5483455,"Luckenberger Straße, Altstadt, Brandenburg an der Havel, Brandenburg, 14770, Deutschland",tram_stop,railway,POINT (12.5483455 52.4088509)
493,Nicolaiplatz,tram_stop,"333276,34","5809584,5","['Tram stop Nicolaiplatz, Brandenburg, 14770']",haltestelle nicolaiplatz,52.4110630,12.5487156,"Nicolaiplatz, Altstadt, Brandenburg an der Havel, Brandenburg, 14770, Deutschland",tram_stop,railway,POINT (12.5487156 52.411063)
494,Technische Hochschule/THB,tram_stop,"332624,4",5809743,"['Tram stop Technische Hochschule/THB, Brandenburg, 14770']",haltestelle technische hochschule/thb,52.4122520,12.5389753,"Technische Hochschule/THB, Magdeburger Straße, Neuendorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14770, Deutschland",tram_stop,railway,POINT (12.5389753 52.412252)
495,Technische Hochschule/THB,tram_stop,"332618,8",5809741,"['Tram stop Technische Hochschule/THB, Brandenburg, 14770']",haltestelle technische hochschule/thb,52.4122520,12.5389753,"Technische Hochschule/THB, Magdeburger Straße, Neuendorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14770, Deutschland",tram_stop,railway,POINT (12.5389753 52.412252)
